lizard,year,average_dist
100,2018,58.33041337
2,2018,24.12906534
4,2018,44.35851384
7,2018,62.10108028
9,2018,214.4806923
12,2018,80.01822784
13,2018,48.75962948
16,2018,159.7977691
19,2018,102.4059625
20,2018,160.6878352
22,2018,82.66760356
23,2018,47.49224824
25,2018,210.6533323
26,2018,76.51161356
30,2018,98.55196106
31,2018,164.77251
35,2018,74.59779628
39,2018,59.85206881
40,2018,112.860753
44,2018,60.28406344
47,2018,61.36940674
56,2018,162.2844271
64,2018,104.369189
80,2018,92.60809883
93,2018,88.22280297
99,2018,29.16618711
130,2018,163.728177
176,2018,68.43395283
200,2018,61.60984196
381,2017,65.33373138
439,2017,76.96319526
460,2017,39.72497277
480,2017,32.40337268
540,2017,71.27140295
620,2017,62.34956888
640,2017,74.05968662
740,2017,26.82372761
760,2017,64.58597977
780,2017,91.07891048
800,2017,56.0028213
841,2017,32.65180026
901,2017,37.14687789
919,2017,51.24372796
941,2017,96.07056532
960,2017,56.26177165
980,2017,59.44388626
1337,2018,215.7060982
12B,2018,98.39301971
a,2016,58.11219554
ab,2016,54.60646677
ac,2016,47.7097948
b,2016,52.37816166
c,2016,137.3151457
d,2016,79.28463702
f,2016,19.99252781
g,2016,106.258753
i,2016,34.4132575
j,2016,21.20150212
k,2016,264.5837787
l,2016,138.0438243
m,2016,64.6477295
n,2016,72.54615817
o,2016,74.07585345
p,2016,63.57356414
r,2016,44.70009272
s,2016,48.35971748
t,2016,52.20865668
u,2016,45.05684354
v,2016,47.04100385
w,2016,161.8436773
x,2016,24.13150532
z,2016,83.97600794
