lizard,year,average_dist
100,2018,112.9059131
12,2018,299.1158297
12B,2018,275.9002197
13,2018,74.76704557
130,2018,340.7914435
1337,2018,360.1312346
16,2018,228.1569038
176,2018,84.59301915
19,2018,138.8120265
20,2018,431.6635386
200,2018,113.1274188
22,2018,115.0828193
23,2018,121.8220986
25,2018,285.3564834
26,2018,89.99527967
30,2018,320.9512136
31,2018,515.5729896
35,2018,86.26297096
381,2017,133.7918773
39,2018,159.6257114
4,2018,44.69441182
40,2018,203.340778
439,2017,93.8947115
44,2018,128.1527111
460,2017,48.33272659
47,2018,112.1124913
480,2017,100.1082573
540,2017,89.5487271
56,2018,549.107407
620,2017,81.10853232
64,2018,327.1036041
640,2017,106.2310787
7,2018,88.58995973
740,2017,51.64402257
760,2017,88.0780183
780,2017,171.5504924
80,2018,332.6054887
800,2017,76.20013251
841,2017,44.81536695
9,2018,413.3313281
901,2017,54.02707608
919,2017,110.1008924
93,2018,277.0442604
941,2017,130.0951462
960,2017,89.0676383
980,2017,104.5486309
99,2018,44.73494589
a,2016,74.74676036
ab,2016,92.49051304
ac,2016,103.9685272
c,2016,260.3766508
d,2016,109.7179948
g,2016,131.0009826
i,2016,50.68864656
j,2016,43.13783585
k,2016,410.5246353
l,2016,331.5180094
m,2016,107.0430862
n,2016,187.3299424
o,2016,139.3249918
p,2016,65.99782721
r,2016,64.20515535
s,2016,89.9494904
t,2016,53.91199737
u,2016,70.90513253
v,2016,107.2948246
w,2016,508.3407162
x,2016,28.27566068
z,2016,134.4834541
