,rep,uniID,status,year,x_utm,y_utm,long,lat,geometry,lizard.y,twenty_meter,ground_truth
2877,124,34745,1,2016,261261.5015,3888741.45,-119.61958,35.113244,c(808104.277904758, 3890833.02936294),0,0
2885,164,35074,1,2016,261201.5015,3888761.45,-119.620244,35.11341,c(808043.10879929, 3890849.39257621),0,0
2887,181,35105,1,2016,261821.5015,3888761.45,-119.613447,35.113557,c(808662.302107992, 3890886.77803055),0,0
2888,182,35106,1,2016,261841.5015,3888761.45,-119.613228,35.113562,c(808682.251568005, 3890888.01255663),0,0
2896,229,35436,1,2016,261801.5015,3888781.45,-119.613672,35.113732,c(808641.12575255, 3890905.4985013),0,0
2914,324,36060,1,2016,261001.5015,3888821.45,-119.622454,35.113903,c(807839.744848752, 3890897.25498175),0,0
2909,310,35769,1,2016,261821.5015,3888801.45,-119.613459,35.113917,c(808659.848229911, 3890926.68793682),0,0
2915,328,36066,1,2016,261121.5015,3888821.45,-119.621138,35.113932,c(807959.627135847, 3890904.5471529),0,0
2920,363,36094,1,2016,261681.5015,3888821.45,-119.614999,35.114064,c(808518.877242916, 3890938.22126463),0,0
2930,403,36391,1,2016,260981.5015,3888841.45,-119.622679,35.114079,c(807818.566636945, 3890916.08821665),0,0
2921,364,36099,1,2016,261781.5015,3888821.45,-119.613903,35.114088,c(808618.718855882, 3890944.28493315),0,0
2931,404,36395,1,2016,261061.5015,3888841.45,-119.621802,35.114098,c(807898.458853435, 3890920.91129114),0,0
2932,405,36396,1,2016,261081.5015,3888841.45,-119.621583,35.114102,c(807918.411936823, 3890922.03317347),0,0
2933,407,36403,1,2016,261221.5015,3888841.45,-119.620048,35.114136,c(808058.24324806, 3890930.55956605),0,0
2936,423,36428,1,2016,261721.5015,3888841.45,-119.614567,35.114254,c(808557.549189257, 3890960.6446962),0,0
2900,280,35730,1,2016,261041.5015,3888801.45,-119.62201,35.113733,c(807880.86878643, 3890879.76551174),1,1
2901,281,35732,1,2016,261081.5015,3888801.45,-119.621571,35.113742,c(807920.862542201, 3890882.12329057),1,1
2944,477,36750,1,2017,261521.5015,3888861.45,-119.616765,35.114387,c(808356.636310843, 3890968.585705),1,1
2908,307,35767,1,2016,261781.5015,3888801.45,-119.613897,35.113908,c(808619.945707452, 3890924.32998019),2,2
2945,478,36756,1,2016,261641.5015,3888861.45,-119.615449,35.114415,c(808476.521713035, 3890975.77382862),1,2
2874,116,34412,1,2016,261241.5015,3888721.45,-119.619794,35.113059,c(808085.462849505, 3890811.83807987),2,3
2906,301,35765,1,2016,261741.5015,3888801.45,-119.614336,35.113898,c(808579.955779091, 3890921.85813326),4,3
2946,479,36757,1,2016,261661.5015,3888861.45,-119.61523,35.11442,c(808496.470959515, 3890977.00795844),2,3
2870,109,34067,1,2016,260981.5015,3888701.45,-119.622638,35.112818,c(807827.054782591, 3890776.28958499),4,4
2876,120,34744,1,2016,261241.5015,3888741.45,-119.6198,35.113239,c(808084.237195757, 3890831.79302246),4,4
