lizard,X20,X25,X30,X35,X40,X45,X50,X55,X60,X65,X70,X75,X80,X85,X90,X95,X100
a,0,0,0,0,0.019979175,0.039958301,0.039958301,0.059937451,0.199791455,0.319879736,0.319879736,0.560399414,0.880902783,1.000899438,1.301126636,1.701721655,2.623125317
ab,0.01997959,0.01997959,0.01997959,0.039959009,0.039959009,0.039959009,0.05993855,0.05993855,0.05993855,0.080025879,0.11998479,0.159940747,0.159940747,1.441556006,2.283361743,2.283361743,2.32331582
ac,0,0,0,0,0,0,0,0.040142432,0.120162939,0.220368262,0.240459204,0.360428271,0.500071704,0.500071704,0.580260864,0.640395776,1.341054517
b,0,0,0,0,0,0,0.020070776,0.020070776,0.020070776,0.020070776,0.020070776,0.020070776,0.040156201,0.040156201,0.040156201,0.080295239,0.660212085
c,0.400331421,0.460357324,0.460357324,0.600628979,0.620608203,0.620608203,0.620608203,0.620608203,0.620608203,0.920858447,0.920858447,1.041153931,1.121270874,1.542043164,2.282588672,3.143496777,23.86497456
d,0.400507324,0.420577734,0.500604712,0.660640112,0.660640112,0.660640112,0.660640112,0.660640112,0.660640112,0.700905591,0.740968652,1.000985254,1.04083313,1.36093269,1.36093269,1.501635547,3.06344873
g,0.099769092,0.159909888,0.300033765,0.300033765,0.300033765,0.300033765,0.300033765,0.300033765,0.300033765,0.300033765,0.300033765,0.300033765,0.300033765,0.300033765,0.479149463,0.479149463,0.479149463
i,0,0,0,0,0,0,0,0,0,0,0,0.040048218,0.080096509,0.080096509,0.100167407,0.12014978,0.320666357
j,0.020068115,0.020068115,0.020068115,0.040042993,0.040042993,0.060133936,0.120381909,0.120381909,0.160356348,0.18033335,0.18033335,0.18033335,0.200424268,0.240675391,0.34086499,0.34086499,0.461162598
k,0,0.039954517,0.039954517,0.039954517,0.039954517,0.039954517,0.039954517,0.039954517,0.039954517,0.039954517,0.039954517,0.039954517,0.039954517,0.039954517,0.039954517,1.300492163,4.141733911
l,0.020068799,0.040135107,0.040135107,0.040135107,0.100277661,0.100277661,0.100277661,0.100277661,0.100277661,0.100277661,0.120368799,0.120368799,0.160212158,0.440456763,0.560426831,1.260859351,5.123926074
m,0.040133618,0.100156323,0.140226611,0.140226611,0.140226611,0.140226611,0.140226611,0.140226611,0.140226611,0.180186133,0.220256519,0.540114233,0.720696118,0.880710913,1.1210396,1.481574316,2.201946948
n,0.140222583,0.140222583,0.140222583,0.140222583,0.140222583,0.140222583,0.200359668,0.200359668,0.200359668,0.200359668,0.200359668,0.200359668,0.280699268,0.280699268,0.360810864,0.460890503,2.242002905
o,0.420562939,0.540662769,0.600693384,0.760562207,0.841106689,0.841106689,0.841106689,0.841106689,0.841106689,0.921102295,1.021088818,1.661679468,1.761849194,1.821898633,2.141827783,3.041955591,5.043123169
p,0.260313672,0.920848804,0.960898169,1.381029712,1.381029712,1.381029712,1.381029712,1.561265234,1.561265234,1.701404565,1.961098779,2.421155713,2.421155713,2.601285498,2.721341724,3.582948682,4.002880151
r,0,0,0,0,0,0,0.01997749,0.039954932,0.039954932,0.039954932,0.060135474,0.100293579,0.100293579,0.120365356,0.16032644,0.220580566,0.601302539
s,0,0,0,0,0,0,0,0,0,0.040047217,0.100272681,0.100272681,0.140319409,0.260280737,0.340422314,0.540583057,0.840970313
t,0.060001392,0.060001392,0.080069092,0.080069092,0.120141724,0.16010061,0.24018833,0.24018833,0.300101733,0.380107935,0.380107935,0.380107935,0.380107935,0.380107935,0.560527588,0.560527588,0.800926367
u,0,0.060134106,0.060134106,0.080205151,0.120139722,0.120139722,0.120139722,0.120139722,0.140207788,0.180159326,0.240096338,0.260076318,0.300124414,0.300124414,0.32010437,0.380420874,0.46049165
v,0.060026245,0.099982153,0.099982153,0.200299487,0.200299487,0.200299487,0.240362671,0.240362671,0.260341797,0.440320703,0.440320703,0.440320703,0.440320703,0.440320703,0.58055166,0.58055166,1.000781396
w,0,0,0,0,0,0.080144775,0.080144775,0.080144775,0.080144775,0.080144775,0.140195752,0.160283643,0.180374438,0.420995313,1.180820557,1.481097437,8.724174902
z,0.701352905,0.901866699,0.941822852,1.181839526,1.281915845,1.281915845,1.281915845,1.281915845,1.281915845,1.34185144,1.34185144,2.082141748,2.142514771,2.482398193,3.764075562,4.045695874,4.225698901
381,0.160343311,0.200302539,0.200302539,0.200302539,0.240550488,0.300797192,0.441052393,0.461146753,0.721669409,0.76173645,0.76173645,0.781712891,1.001588306,1.041658398,1.041658398,1.161693506,1.48229624
439,0.019978857,0.059936401,0.240340723,0.320344067,0.400732715,0.500806006,0.580625586,0.620703003,0.720761523,0.820764209,0.940813965,1.040795703,1.040795703,1.240940112,1.300865942,1.380642212,1.821481812
460,0,0,0,0,0.019979028,0.100113892,0.140179785,0.140179785,0.180137891,0.220156714,0.240226831,0.360292944,0.360292944,0.360292944,0.440680029,0.500612109,0.600788013
480,0,0,0,0,0.020087646,0.020087646,0.040178345,0.060158081,0.060158081,0.060158081,0.080223901,0.120180444,0.14025144,0.180294482,0.180294482,0.240527637,0.380899146
540,0,0,0,0.080089697,0.120136792,0.120136792,0.14022207,0.200177686,0.360501367,0.360501367,0.360501367,0.420548169,0.480594897,0.981059082,1.201411401,1.341313696,1.621530054
620,0,0,0,0,0,0.019979639,0.039959302,0.080007202,0.12005752,0.180190356,0.22025293,0.260498145,0.280474658,0.440359473,0.500397827,0.860697754,1.400806274
640,0,0.019979224,0.019979224,0.039958447,0.120052393,0.120052393,0.120052393,0.140127686,0.160106836,0.160106836,0.200059155,0.200059155,0.240108276,0.360155396,0.500002417,0.500002417,1.340349097
740,0,0,0,0,0.019976514,0.019976514,0.039953076,0.039953076,0.039953076,0.039953076,0.039953076,0.039953076,0.039953076,0.099999731,0.139955786,0.179911743,0.28027981
760,0,0.019979224,0.060139355,0.060139355,0.060139355,0.060139355,0.060139355,0.060139355,0.080118579,0.219921875,0.400130103,0.540831177,1.041202222,1.321555566,1.321555566,1.421669263,1.801360107
780,0.380712769,0.500585474,0.560635376,0.660621655,1.100566968,1.120637695,1.120637695,1.120637695,1.120637695,1.341125488,1.44122644,1.561817676,1.701836328,1.882056885,2.082188477,3.382935693,3.563131079
800,0.060046265,0.080136719,0.10031626,0.10031626,0.120295752,0.240354663,0.340431885,0.420446484,0.580675415,0.660670557,0.680647046,0.800497192,0.88061123,0.88061123,0.940452222,1.280474194,1.620179761
841,0,0,0.000110913,0.000110913,0.040064429,0.040064429,0.040064429,0.040064429,0.119966943,0.140145239,0.140145239,0.220436523,0.220436523,0.220436523,0.220436523,0.280482544,0.340700439
901,0.020179541,0.020179541,0.020179541,0.020179541,0.060246313,0.080225806,0.080225806,0.12029248,0.12029248,0.140366064,0.160342407,0.160342407,0.200389941,0.200389941,0.260522192,0.300481079,0.420460205
919,0,0.01997876,0.059936206,0.099893677,0.18002417,0.239846094,0.280199878,0.320157349,0.340135986,0.340135986,0.340135986,0.42041543,0.42041543,0.42041543,0.72072522,1.00081665,1.300990576
941,0.360552124,0.520762964,0.5407427,0.940869385,1.461222168,1.501178613,1.781632739,1.941671704,1.981624976,2.10197207,2.302189771,2.44164895,2.50193042,3.163436914,3.463841895,3.763982153,4.503909521
960,0.080021289,0.099999683,0.400833203,0.400833203,0.500709717,0.621032031,0.621032031,0.621032031,0.621032031,0.720817456,0.720817456,0.800613232,1.080915869,1.120983301,1.240777588,1.661132349,1.941742969
980,0,0.020087354,0.020087354,0.020087354,0.040177734,0.080244482,0.12031438,0.200232471,0.260553345,0.320694556,0.380625244,0.380625244,0.461055371,0.700935083,0.74077937,0.780624829,1.060994873
100,0,0,0,0,0,0.019976318,0.019976318,0.040154712,0.040154712,0.040154712,0.040154712,0.040154712,0.080087012,0.120249316,0.200361719,0.38027002,2.00192168
12,0.120235278,0.400479492,0.460501099,0.620648291,0.8010052,0.901045605,1.281585571,1.441282397,1.601328076,1.601328076,1.801491382,2.261862793,2.562256885,2.782124902,3.483007007,4.323821606,9.627914233
12B,0,0,0,0,0,0,0,0.019975684,0.019975684,0.019975684,0.039954419,0.100085034,0.160239819,0.200288281,0.300472314,0.420736108,6.710337305
13,0,0,0,0.01997959,0.039959204,0.119877515,0.159836694,0.199900708,0.26011543,0.26011543,0.300288599,0.340536499,0.50072229,0.640654785,0.801081201,1.060927222,1.400550073
130,0,0,0.019975415,0.019975415,0.040067603,0.160106958,0.160106958,0.160106958,0.280487646,0.44070022,0.661021216,0.901386768,0.901386768,0.901386768,1.261616455,1.401685742,39.91339197
1337,0,0,0,0,0,0,0,0,0.0400448,0.060114087,0.100176025,0.52054436,0.680473975,1.361445581,1.821977881,5.705410645,25.72743345
16,0.400143042,0.400143042,0.400143042,0.400143042,0.460079346,0.460079346,0.460079346,0.480149292,0.480149292,0.520192896,0.700583716,8.025960229,8.869892822,9.010029688,9.010029688,9.010029688,12.14767771
176,0.380056323,0.640246143,0.860821411,0.880800366,0.880800366,0.880800366,0.880800366,0.880800366,1.341201929,1.701795996,1.861744922,2.041832739,2.122044922,2.222596606,2.262995117,2.502619287,2.662557568
19,0.160315112,0.160315112,0.160315112,0.160315112,0.240316553,0.480494312,0.600449805,0.720694995,0.960561328,1.140705835,1.280659961,1.400649976,1.460784692,1.801447583,2.002516431,2.962889746,6.14728125
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019976855
20,0,0,0,0,0,0,0,0,0,0,0,0.040045508,0.100160596,0.100160596,0.120338501,0.240701807,8.389277563
200,0.080136377,0.160158667,0.160158667,0.200112891,0.200112891,0.200112891,0.220088501,0.340336987,0.520399658,0.700678198,0.780588574,0.960985547,1.121485645,1.462206006,2.022055762,2.482151123,4.203979858
22,0,0.040046191,0.060024951,0.080094849,0.080094849,0.120052466,0.320521094,0.400641431,0.54067312,1.060834033,1.341571899,2.122084668,2.422210303,2.801788184,3.462944434,3.462944434,4.943615308
23,0.0403427,0.080294141,0.100363965,0.160297461,0.180273486,0.240129321,0.240129321,0.280177832,0.400252466,0.42023103,0.42023103,0.460302124,0.640759741,0.800867603,0.901467285,2.842416455,3.183017554
25,0.46044209,0.46044209,0.46044209,0.46044209,0.46044209,0.520466528,0.600609888,0.800403198,0.860719385,1.041302563,2.341501709,2.501901294,2.521877026,4.484499146,6.005280029,12.05135217,12.69240779
