"","lizard","radio_ID","captured","released","gender","frequency","mass","SVL_mm","tail","gravidity","tail_mm","ID_heather"
"1","100","229 051","7/20/18","8/5/2018","f",150.549,NA,98,"tipped regen","n",173,1
"2","12","229 065","7/20/18","8/5/2018","m",151.11,22.65,93,"intact",NA,196,15
"3","12B","229 066","7/21/18","8/5/2018","m",151.15,28.76,94,"intact",NA,183,16
"4","13","229 074","7/21/18","8/5/2018","m",151.61,36.69,113,"intact",NA,205,24
"5","130","229 080","7/19/18","8/5/2018","m",151.969,24.83,101,"intact",NA,210,30
"6","1337","229 058","7/21/18","8/5/2018","m",151.91,41.79,107,"intact",NA,202,29
"7","16","229 072","7/21/18","8/5/2018","f",151.47,27.52,103,"intact","n",202,22
"8","19","229 063","7/21/18","8/5/2018","m",151.049,36.65,105,"tipped",NA,207,13
"9","20","229 061","7/20/18","8/5/2018","f",151,33.69,108,"intact","n",192,11
"10","200","229 060","7/20/18","8/5/2018","m",150.83,32.86,103,"intact",NA,213,10
"11","22","229 077","7/21/18","8/5/2018","f",151.83,28.94,97,"intact","n",190,27
"12","23","229 071","7/19/18","8/5/2018","f",151.43,14.2,108,"intact","n",191,21
"13","25","229 070","7/20/18","8/5/2018","m",151.37,35.5,105,"intact",NA,195,20
"14","26","229 076","7/21/18","8/5/2018","m",151.809,37.34,105,"intact",NA,210,26
"15","30","229 057","7/19/18","8/5/2018","m",150.77,33.79,103,"intact",NA,212,7
"16","31","229 055","7/20/18","8/5/2018","m",150.669,32.73,101,"regen",NA,82,5
"17","381","151.381","30-May-17","14016","f",151.381,32.5,96,"tail whole",NA,NA,NA
"18","39","229 078","7/19/18","8/5/2018","f",151.849,32.24,102,"dropped","n",196,28
"19","4","229 064","7/21/18","8/5/2018","f",151.089,30.43,105,"intact tipped","n",193,14
"20","40","229 067","7/21/18","8/5/2018","f",151.209,27.54,95,"intact","n",192,17
"21","420","151.42","30-May-17","14016","m",151.42,46.5,111,"tail whole",NA,NA,NA
"22","439","151.439","30-May-17","14016","f",151.439,32,89,"tail tipped?",NA,NA,NA
"23","44","229 056","7/20/18","8/5/2018","m",150.75,32.7,98,"kinked",NA,176,6
"24","460","151.46","30-May-17","14016","m",151.46,37,94,"tail whole, scratches on back",NA,NA,NA
"25","480","151.48","30-May-17","14016","m",151.48,23,89,"tail whole",NA,NA,NA
"26","56","229 059","7/21/18","8/5/2018","m",150.81,33.73,100,"intact",NA,210,9
"27","620","151.62","27-May-17","14016","m",151.62,30,92,"tail whole",NA,NA,NA
"28","64","229 058","7/21/18","8/5/2018","m",150.79,32.48,104,"intact",NA,190,8
"29","640","151.64","27-May-17","14016","f",151.64,32,98,"tail tipped possibly, two eggs",NA,NA,NA
"30","680","151.68","27-May-17","14016","f",151.68,47,109,"tail tipped possibly, at least one egg",NA,NA,NA
"31","73","229 073","7/20/18","8/5/2018","m",151.59,32.9,102,"inact",NA,213,23
"32","74","151.74","30-May-17","14016","f",151.74,32,102,"tail stunted",NA,NA,NA
"33","760","151.76","27-May-17","14016","m",151.76,40,111,"tail tipped",NA,NA,NA
"34","780","151.78","27-May-17","14016","m",151.78,60,106,"tail whole, weight is minimum weight bc scale only measured up to 60g",NA,NA,NA
"35","80","229 054","7/21/18","8/5/2018","f",150.63,31.75,106,"intact","n",186,4
"36","800","151.8","27-May-17","14016","m",151.8,42,99,"tail whole, scar behind left eye",NA,NA,NA
"37","841","151.841","27-May-17","14016","f",151.841,42,109,"tail tipped, one egg",NA,NA,NA
"38","9","229 052","7/19/18","8/5/2018","f",150.57,26.85,94,"intact","n",196,2
"39","901","151.901","27-May-17","14016","f",151.901,23.5,88,"tail whole",NA,NA,NA
"40","919","151.919","27-May-17","14016","m",151.919,43,101,"tail whole",NA,NA,NA
"41","93","229 069","7/21/18","8/5/2018","m",151.29,38.95,112,"regen",NA,165,19
"42","941","151.941","27-May-17","14016","m",151.941,44,106,"tail tipped",NA,NA,NA
"43","960","151.96","27-May-17","14016","m",151.96,46.5,110,"tail tipped",NA,NA,NA
"44","980","151.98","30-May-17","14016","m",151.98,37,100,"tail tipped, mites",NA,NA,NA
"45","99","229 053","7/21/18","8/5/2018","f",150.609,22.79,92,"intact","n",178,3
