lizard,rep,uniID,status,relocation,year,ground,mesohabitat,Aspect.x,Slope.x,Elev.x,KDF.x,Shrub_Cov.x,NDVI.x,Solar.x,FID,x_utm,y_utm,long,lat,gender,mass,SVL_mm,tail,tail_mm,ID_heather,geometry,
80,3371,43095,0,NA,2018,above,shrub,335.1359863,15.7712002,788,7.70E-05,0.14195,0.24401,361332,4455,262261.5015,3889241.45,-119.608762,35.117985,f,31.75,106,intact,186,4,c(809072.730454693, 3891392.67921431)
d,3270,42762,0,NA,2016,above,shrub,329.743988,19.1527004,791,4.30E-05,0.0966594,0.237844,354584,5318,262241.5015,3889221.45,-119.608975,35.1178,m,24,89,NA,NA,NA,c(809054.009958708, 3891371.48878207)
12,3477,43426,0,NA,2018,above,shrub,315,11.4912004,781,6.30E-05,0.0688519,0.239907,370728,1153,262241.5015,3889261.45,-119.608987,35.11816,m,22.65,93,intact,196,15,c(809051.554189982, 3891411.39871792)
919,3369,43093,0,NA,2017,above,shrub,322.125,15.9098997,781,3.27E-05,0.0764154,0.244277,362011,764,262221.5015,3889241.45,-119.6092,35.117975,m,43,101,tail whole,NA,NA,c(809032.833693714, 3891390.20832955)
23,3475,43424,0,NA,2018,above,shrub,311.4240112,8.06497,775,1.17E-05,0.0458084,0.241197,375468,3867,262201.5015,3889261.45,-119.609425,35.118151,f,14.2,108,intact,191,21,c(809011.653733668, 3891409.0388854)
540,3577,43756,0,NA,2017,above,shrub,293.1990051,5.4380102,774,9.10E-06,0.04136,0.230225,379143,839,262201.5015,3889281.45,-119.609431,35.118331,NA,NA,NA,NA,NA,NA,c(809010.425936781, 3891428.99385316)
30,3793,44420,0,NA,2018,above,shrub,292.3800049,6.5548201,774,0,0.058028,0.232161,378565,886,262201.5015,3889321.45,-119.609443,35.118691,m,33.79,103,intact,212,7,c(809007.970341102, 3891468.90378968)
n,3474,43423,0,NA,2016,above,shrub,309.8059998,5.5760102,774,0,0.0401285,0.24012,378260,7363,262181.5015,3889261.45,-119.609645,35.118146,f,29,97,NA,NA,NA,c(808991.614220703, 3891407.80044592)
44,31591,42426,0,NA,2018,below,open,310.9140015,13.9347,780,0,0.0840518,0.233413,367587,5339,262161.5015,3889201.45,-119.609847,35.117601,m,32.7,98,kinked,176,6,c(808975.25782715, 3891346.69715181)
960,3366,43090,0,NA,2017,above,shrub,311.6340027,8.5599003,774,0,0.028212,0.243634,375207,21,262161.5015,3889241.45,-119.609858,35.117961,m,46.5,110,tail tipped,NA,NA,c(808972.893589078, 3891386.61019134)
99,33661,43090,0,NA,2018,below,open,311.6340027,8.5599003,774,0,0.028212,0.243634,375207,21,262161.5015,3889241.45,-119.609858,35.117961,f,22.79,92,intact,178,3,c(808972.893589078, 3891386.61019134)
99,3791,44418,0,NA,2018,above,shrub,327.5289917,4.65874,771,0,0.0179753,0.232242,378538,2607,262161.5015,3889321.45,-119.609881,35.118682,f,22.79,92,intact,178,3,c(808968.070147385, 3891466.5441319)
l,25541,40433,0,NA,2016,below,open,255.651001,15.5042,774,0,0.0668482,0.221338,372683,5522,262141.5015,3889081.45,-119.610031,35.116515,uk,NA,NA,NA,NA,NA,c(808962.587917192, 3891225.6180507)
12,2950,41761,0,NA,2018,above,shrub,259.8240051,13.9091997,777,0,0.0228927,0.222885,374368,8993,262141.5015,3889161.45,-119.610054,35.117236,m,22.65,93,intact,196,15,c(808957.764676279, 3891305.55197892)
1337,30541,42093,0,NA,2018,below,open,276.3399963,12.7559004,778,0,0.0579532,0.225941,373850,7420,262141.5015,3889181.45,-119.61006,35.117416,m,41.79,107,intact,202,29,c(808956.537015626, 3891325.50694398)
7,305411,42093,0,NA,2018,below,open,276.3399963,12.7559004,778,0,0.0579532,0.225941,373850,7420,262141.5015,3889181.45,-119.61006,35.117416,NA,NA,NA,NA,NA,NA,c(808956.537015626, 3891325.50694398)
d,3472,43421,0,NA,2016,above,shrub,275.1940002,7.86096,770,0,0.053731,0.231609,378668,6926,262141.5015,3889261.45,-119.610083,35.118137,m,24,89,NA,NA,NA,c(808951.713760111, 3891405.44087894)
o,3574,43753,0,NA,2016,above,shrub,257.4710083,6.5740099,771,0,0.0153739,0.232958,380930,6441,262141.5015,3889281.45,-119.610089,35.118317,m,39.5,106,NA,NA,NA,c(808950.486096074, 3891425.39584569)
176,3790,44417,0,NA,2018,above,shrub,309.8059998,5.5760102,770,0,0.0246227,0.23093,378387,2455,262141.5015,3889321.45,-119.6101,35.118677,NA,NA,NA,NA,NA,NA,c(808948.121940133, 3891465.30888704)
1337,4155,45413,0,NA,2018,above,shrub,111.8010025,3.8510301,767,0,0.0964805,0.213751,380993,1499,262141.5015,3889381.45,-119.610118,35.119218,m,41.79,107,intact,202,29,c(808944.435158542, 3891525.28475581)
z,26551,40764,0,NA,2016,below,open,263.9909973,13.4314003,770,0,0.0411552,0.234681,374191,1750,262121.5015,3889101.45,-119.610256,35.116691,f,24,102,NA,NA,NA,c(808941.407783354, 3891244.44878256)
