,lizard,year,sex,X95,X100
1,100,2018,f,0.38,2
2,12,2018,m,4.32,9.62
3,12B,2018,m,0.42,6.705148102
4,13,2018,m,1.06,1.4
5,130,2018,m,1.4,39.87604939
6,1337,2018,m,5.7,25.7
7,16,2018,f,9,12.14
8,19,2018,m,2.96,6.14
9,20,2018,f,0.24,8.38
10,200,2018,m,2.48,4.2
11,22,2018,f,3.46,4.94
12,23,2018,f,2.84,3.18
13,25,2018,m,12.04,12.68
14,26,2018,m,0.84,2
15,30,2018,m,0.64,6.6
16,31,2018,m,0.4,5.06
17,381,2017,f,1.16,1.48
18,39,2018,f,1,2.9
19,4,2018,f,0.14,0.34
20,40,2018,f,0.64,6.84
21,439,2017,f,1.38,1.82
22,44,2018,m,2.3,5.22
23,460,2017,m,0.5,0.6
24,480,2017,m,0.24,0.38
25,56,2018,m,0.7,6.1
26,620,2017,m,0.86,1.4
27,64,2018,m,1.12,10.22
28,640,2017,f,0.5,1.34
29,760,2017,m,1.42,1.8
30,780,2017,m,3.38,3.56
31,80,2018,f,0.56,2.34
32,800,2017,m,1.28,1.62
33,841,2017,f,0.28,0.34
34,9,2018,f,0.88,4.58
35,901,2017,f,0.3,0.42
36,919,2017,m,1,1.3
37,93,2018,m,0.46,7.38
38,941,2017,m,3.76,4.5
39,960,2017,m,1.66,1.94
40,980,2017,m,0.78,1.06
41,99,2018,f,0.2,0.32
42,a,2016,m,1.7,2.62
43,ab,2016,f,2.28,2.32
44,ac,2016,f,0.64,1.34
45,b,2016,f,0.08,0.66
46,c,2016,m,3.14,23.84
47,d,2016,m,1.5,3.06
48,g,2016,m,0.48,0.48
49,i,2016,f,0.12,0.32
50,j,2016,f,0.34,0.46
51,k,2016,m,1.3,4.14
52,m,2016,m,1.48,2.2
53,n,2016,f,0.46,2.24
54,o,2016,m,3.04,5.04
55,p,2016,f,3.58,4
56,r,2016,f,0.22,0.6
57,s,2016,f,0.54,0.84
58,t,2016,m,0.56,0.8
59,u,2016,m,0.38,0.46
60,v,2016,m,0.58,1
61,w,2016,m,1.48,8.72
62,z,2016,f,4.04,4.22
