"","X20","X25","X30","X35","X40","X45","X50","X55","X60","X65","X70","X75","X80","X85","X90","X95","X100"
"100",0,0,0,0,0,2e-04,2e-04,4e-04,4e-04,4e-04,4e-04,4e-04,8e-04,0.0012,0.002,0.0038,0.02
"12",0.0012,0.004,0.0046,0.0062,0.008,0.009,0.0128,0.0144,0.016,0.016,0.018,0.0226,0.0256,0.0278,0.0348,0.0432,0.0962
"12B",0,0,0,0,0,0,0,2e-04,2e-04,2e-04,4e-04,0.001,0.0016,0.002,0.003,0.0042,0.0670514810180664
"13",0,0,0,2e-04,4e-04,0.0012,0.0016,0.002,0.0026,0.0026,0.003,0.0034,0.005,0.0064,0.008,0.0106,0.014
"130",0,0,2e-04,2e-04,4e-04,0.0016,0.0016,0.0016,0.0028,0.0044,0.0066,0.009,0.009,0.009,0.0126,0.014,0.398760493896484
"1337",0,0,0,0,0,0,0,0,4e-04,6e-04,0.001,0.0052,0.0068,0.0136,0.0182,0.057,0.257
"16",0.004,0.004,0.004,0.004,0.0046,0.0046,0.0046,0.0048,0.0048,0.0052,0.007,0.0802,0.0886,0.09,0.09,0.09,0.1214
"176",0.0038,0.0064,0.0086,0.0088,0.0088,0.0088,0.0088,0.0088,0.0134,0.017,0.0186,0.0204,0.0212,0.0222,0.0226,0.025,0.0266
"19",0.0016,0.0016,0.0016,0.0016,0.0024,0.0048,0.006,0.0072,0.0096,0.0114,0.0128,0.014,0.0146,0.018,0.02,0.0296,0.0614
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-04
"20",0,0,0,0,0,0,0,0,0,0,0,4e-04,0.001,0.001,0.0012,0.0024,0.0838
"200",8e-04,0.0016,0.0016,0.002,0.002,0.002,0.0022,0.0034,0.0052,0.007,0.0078,0.0096,0.0112,0.0146,0.0202,0.0248,0.042
"22",0,4e-04,6e-04,8e-04,8e-04,0.0012,0.0032,0.004,0.0054,0.0106,0.0134,0.0212,0.0242,0.028,0.0346,0.0346,0.0494
"23",4e-04,8e-04,0.001,0.0016,0.0018,0.0024,0.0024,0.0028,0.004,0.0042,0.0042,0.0046,0.0064,0.008,0.009,0.0284,0.0318
"25",0.0046,0.0046,0.0046,0.0046,0.0046,0.0052,0.006,0.008,0.0086,0.0104,0.0234,0.025,0.0252,0.0448,0.06,0.1204,0.1268
"26",0,0,0,0,0,0,0,0,0,2e-04,4e-04,4e-04,0.001,0.0036,0.0054,0.0084,0.02
"30",0,0,0,0,0,0,0,4e-04,4e-04,4e-04,8e-04,0.002,0.0024,0.0032,0.0046,0.0064,0.066
"31",0,0,0,0,2e-04,6e-04,8e-04,0.001,0.0014,0.0018,0.0018,0.002,0.0022,0.0028,0.004,0.004,0.0506
"35",0,4e-04,4e-04,4e-04,0.0012,0.0016,0.0032,0.0034,0.0034,0.0034,0.004,0.0062,0.0062,0.007,0.0094,0.0122,0.0122
"39",0,2e-04,4e-04,0.001,0.0012,0.0014,0.0022,0.0026,0.0032,0.0032,0.0036,0.0038,0.0044,0.0058,0.0078,0.01,0.029
"4",0,0,0,0,0,0,0,0,0,0,0,4e-04,6e-04,6e-04,8e-04,0.0014,0.0034
"40",8e-04,0.001,0.001,0.001,0.001,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0024,0.0024,0.004,0.0064,0.0684
"44",0.001,0.002,0.002,0.002,0.004,0.006,0.0074,0.0078,0.0086,0.0092,0.0094,0.0112,0.012,0.0126,0.0188,0.023,0.0522
"47",0.0026,0.003,0.0036,0.0042,0.0042,0.0052,0.0082,0.0088,0.0116,0.0122,0.0122,0.0128,0.0132,0.0142,0.0208,0.0208,0.0208
"56",2e-04,8e-04,8e-04,8e-04,8e-04,8e-04,8e-04,8e-04,8e-04,8e-04,0.0016,0.0024,0.003,0.0038,0.0054,0.007,0.061
"64",0,0,0,0,2e-04,4e-04,6e-04,0.001,0.0016,0.002,0.0022,0.0024,0.0038,0.0054,0.0072,0.0112,0.1022
"7",0,0,0,0,0,0,0,0,0,0,0,2e-04,6e-04,0.002,0.0034,0.0066,0.0114
"80",0,0,2e-04,2e-04,2e-04,2e-04,2e-04,2e-04,2e-04,6e-04,0.001,0.0018,0.0024,0.003,0.0044,0.0056,0.0234
"9",2e-04,4e-04,0.0014,0.0014,0.0014,0.0014,0.002,0.0034,0.0034,0.0034,0.0034,0.0034,0.0034,0.0038,0.0046,0.0088,0.0458
"93",0,0,0,0,0,0,0,0,0,0,2e-04,6e-04,0.001,0.0012,0.0026,0.0046,0.0738
"99",0,0,0,0,0,0,0,0,2e-04,2e-04,4e-04,4e-04,6e-04,0.0012,0.0012,0.002,0.0032
