lizard,X20,X25,X30,X35,X40,X45,X50,X55,X60,X65,X70,X75,X80,X85,X90,X95,X100
a,0,0,0,0,2.00E-04,4.00E-04,4.00E-04,6.00E-04,0.002,0.0032,0.0032,0.0056,0.0088,0.01,0.013,0.017,0.0262
ab,2.00E-04,2.00E-04,2.00E-04,4.00E-04,4.00E-04,4.00E-04,6.00E-04,6.00E-04,6.00E-04,8.00E-04,0.0012,0.0016,0.0016,0.0144,0.0228,0.0228,0.0232
ac,0,0,0,0,0,0,0,4.00E-04,0.0012,0.0022,0.0024,0.0036,0.005,0.005,0.0058,0.0064,0.0134
b,0,0,0,0,0,0,2.00E-04,2.00E-04,2.00E-04,2.00E-04,2.00E-04,2.00E-04,4.00E-04,4.00E-04,4.00E-04,8.00E-04,0.0066
c,0.004,0.0046,0.0046,0.006,0.0062,0.0062,0.0062,0.0062,0.0062,0.0092,0.0092,0.0104,0.0112,0.0154,0.0228,0.0314,0.2384
d,0.004,0.0042,0.005,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,0.007,0.0074,0.01,0.0104,0.0136,0.0136,0.015,0.0306
g,0.001,0.0016,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.0048,0.0048,0.0048
i,0,0,0,0,0,0,0,0,0,0,0,4.00E-04,8.00E-04,8.00E-04,0.0012,0.0012,0.0032
j,2.00E-04,2.00E-04,2.00E-04,4.00E-04,4.00E-04,6.00E-04,0.0012,0.0012,0.0014,0.0014,0.0014,0.0014,0.002,0.0024,0.0034,0.0034,0.0046
k,0,4.00E-04,4.00E-04,4.00E-04,4.00E-04,4.00E-04,4.00E-04,4.00E-04,4.00E-04,4.00E-04,4.00E-04,4.00E-04,4.00E-04,4.00E-04,4.00E-04,0.013,0.0414
l,2.00E-04,4.00E-04,4.00E-04,4.00E-04,0.001,0.001,0.001,0.001,0.001,0.001,0.0012,0.0012,0.0016,0.0044,0.0056,0.0126,0.0512
m,4.00E-04,0.001,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0018,0.0022,0.0054,0.0072,0.0088,0.0112,0.0148,0.022
n,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.002,0.002,0.002,0.002,0.002,0.002,0.0028,0.0028,0.0036,0.0046,0.0224
o,0.0042,0.0054,0.006,0.0076,0.0084,0.0084,0.0084,0.0084,0.0084,0.0092,0.0102,0.0166,0.0176,0.0182,0.0214,0.0304,0.0504
p,0.0026,0.0096,0.0096,0.0138,0.0138,0.0138,0.0138,0.0156,0.0156,0.017,0.0196,0.0242,0.0242,0.026,0.0272,0.0358,0.04
r,0,0,0,0,0,0,2.00E-04,4.00E-04,4.00E-04,4.00E-04,6.00E-04,0.001,0.001,0.0012,0.0016,0.0022,0.006
s,0,0,0,0,0,0,0,0,0,4.00E-04,0.001,0.001,0.0014,0.0026,0.0034,0.0054,0.0084
t,6.00E-04,6.00E-04,8.00E-04,8.00E-04,0.0012,0.0016,0.0024,0.0024,0.003,0.0038,0.0038,0.0038,0.0038,0.0038,0.0056,0.0056,0.008
u,0,6.00E-04,6.00E-04,8.00E-04,0.0012,0.0012,0.0012,0.0012,0.0014,0.0018,0.0024,0.0026,0.003,0.003,0.0032,0.0038,0.0046
v,6.00E-04,0.001,0.001,0.002,0.002,0.002,0.0024,0.0024,0.0026,0.0044,0.0044,0.0044,0.0044,0.0044,0.0058,0.0058,0.01
w,0,0,0,0,0,8.00E-04,8.00E-04,8.00E-04,8.00E-04,8.00E-04,0.0014,0.0016,0.0018,0.0042,0.0118,0.0148,0.0872
z,0.007,0.009,0.0094,0.0118,0.0128,0.0128,0.0128,0.0128,0.0128,0.0134,0.0134,0.0208,0.0214,0.0248,0.0376,0.0404,0.0422
381,0.0016,0.002,0.002,0.002,0.0024,0.003,0.0044,0.0046,0.0072,0.0076,0.0076,0.0078,0.01,0.0104,0.0104,0.0116,0.0148
