"","lizard","year","sex","X95"
"1","100","2018","f",0.0038
"2","12","2018","m",0.0432
"3","12B","2018","m",0.0042
"4","13","2018","m",0.0106
"5","130","2018","m",0.014
"6","1337","2018","m",0.057
"7","16","2018","f",0.09
"8","19","2018","m",0.0296
"9","20","2018","f",0.0024
"10","200","2018","m",0.0248
"11","22","2018","f",0.0346
"12","23","2018","f",0.0284
"13","25","2018","m",0.1204
"14","26","2018","m",0.0084
"15","30","2018","m",0.0064
"16","31","2018","m",0.004
"17","381","2017","f",0.0116
"18","39","2018","f",0.01
"19","4","2018","f",0.0014
"20","40","2018","f",0.0064
"21","420","2017","m",NA
"22","439","2017","f",0.0138
"23","44","2018","m",0.023
"24","460","2017","m",0.005
"25","480","2017","m",0.0024
"26","56","2018","m",0.007
"27","620","2017","m",0.0086
"28","64","2018","m",0.0112
"29","640","2017","f",0.005
"30","680","2017","f",NA
"31","760","2017","m",0.0142
"32","780","2017","m",0.0338
"33","80","2018","f",0.0056
"34","800","2017","m",0.0128
"35","841","2017","f",0.0028
"36","9","2018","f",0.0088
"37","901","2017","f",0.003
"38","919","2017","m",0.01
"39","93","2018","m",0.0046
"40","941","2017","m",0.0376
"41","960","2017","m",0.0166
"42","980","2017","m",0.0078
"43","99","2018","f",0.002
"44","a","2016","m",0.017
"45","aa","2016","f",NA
"46","ab","2016","f",0.0228
"47","ac","2016","f",0.0064
"48","b","2016","f",8e-04
"49","c","2016","m",0.0314
"50","d","2016","m",0.015
"51","e","2016","m",NA
"52","f","2016","m",NA
"53","g","2016","m",0.0048
"54","i","2016","f",0.0012
"55","j","2016","f",0.0034
"56","k","2016","m",0.013
"57","m","2016","m",0.0148
"58","n","2016","f",0.0046
"59","o","2016","m",0.0304
"60","p","2016","f",0.0358
"61","r","2016","f",0.0022
"62","s","2016","f",0.0054
"63","t","2016","m",0.0056
"64","u","2016","m",0.0038
"65","v","2016","m",0.0058
"66","w","2016","m",0.0148
"67","x","2016","f",NA
"68","z","2016","f",0.0404
